,Age,Job,Credit amount,Duration,Credit_per_Duration,Sex,Housing,Saving accounts,Checking account,Purpose,Age_Group
635,47,2,1393,12,116.08333333333333,male,own,little,little,education,Middle
597,36,1,4241,24,176.70833333333334,male,own,little,moderate,business,Middle
736,23,3,11560,24,481.6666666666667,female,rent,little,moderate,car,Young
639,26,2,4370,42,104.04761904761905,male,own,little,little,radio/TV,Adult
986,33,2,6289,42,149.73809523809524,male,own,little,rich,business,Adult
607,50,2,2671,36,74.19444444444444,female,free,moderate,moderate,radio/TV,Middle
447,35,2,2576,7,368.0,male,own,little,moderate,radio/TV,Adult
62,61,3,1953,36,54.25,male,free,little,moderate,business,Senior
603,28,3,3349,36,93.02777777777777,female,own,little,little,furniture/equipment,Adult
985,25,2,1433,15,95.53333333333333,female,rent,little,little,furniture/equipment,Young
655,22,2,3973,14,283.7857142857143,male,free,little,little,car,Young
239,39,2,2522,30,84.06666666666666,male,own,little,little,radio/TV,Middle
513,20,2,585,12,48.75,male,rent,little,moderate,radio/TV,Young
928,58,2,1867,30,62.233333333333334,male,own,little,little,radio/TV,Senior
852,35,2,1471,15,98.06666666666666,male,free,little,little,radio/TV,Adult
646,32,2,4583,30,152.76666666666668,male,own,little,little,furniture/equipment,Adult
862,35,2,2439,24,101.625,female,own,little,little,radio/TV,Adult
999,27,2,4576,45,101.68888888888888,male,own,moderate,moderate,car,Adult
244,35,1,3447,12,287.25,female,own,quite rich,little,education,Adult
0,67,2,1169,6,194.83333333333334,male,own,little,little,radio/TV,Senior
79,22,2,3832,30,127.73333333333333,male,own,little,moderate,furniture/equipment,Young
504,24,2,1207,24,50.291666666666664,female,rent,little,little,car,Young
51,30,3,5965,27,220.92592592592592,male,own,little,moderate,car,Adult
213,66,3,1908,30,63.6,male,own,little,rich,business,Senior
893,34,2,5800,36,161.11111111111111,male,own,little,moderate,car,Adult
305,33,2,1543,6,257.1666666666667,male,own,rich,little,furniture/equipment,Adult
972,29,0,1193,24,49.708333333333336,female,rent,little,little,car,Adult
599,32,2,3863,24,160.95833333333334,male,free,little,little,business,Adult
837,23,1,601,4,150.25,female,rent,little,little,furniture/equipment,Young
610,22,2,741,12,61.75,female,own,moderate,little,domestic appliances,Young
694,28,2,2284,24,95.16666666666667,male,own,little,little,radio/TV,Adult
750,49,2,428,6,71.33333333333333,female,own,little,little,furniture/equipment,Middle
850,33,2,2235,20,111.75,male,rent,little,little,car,Adult
969,40,1,3939,11,358.09090909090907,male,own,little,little,car,Middle
33,57,1,1264,12,105.33333333333333,male,rent,little,little,business,Senior
503,38,2,1216,24,50.666666666666664,male,own,moderate,moderate,radio/TV,Middle
474,33,2,1245,18,69.16666666666667,male,own,little,moderate,radio/TV,Adult
467,32,2,7238,48,150.79166666666666,male,own,little,little,radio/TV,Adult
462,34,3,3017,12,251.41666666666666,female,rent,little,moderate,furniture/equipment,Adult
424,25,2,2762,12,230.16666666666666,female,own,little,moderate,furniture/equipment,Young
267,38,2,1533,24,63.875,female,own,little,little,radio/TV,Middle
684,31,1,9857,36,273.80555555555554,male,own,moderate,moderate,business,Adult
864,25,1,2210,10,221.0,male,rent,little,little,furniture/equipment,Young
950,40,0,3590,18,199.44444444444446,male,own,little,moderate,business,Middle
58,23,3,1961,18,108.94444444444444,female,own,little,rich,car,Young
378,57,3,14318,36,397.72222222222223,male,free,little,moderate,car,Senior
77,51,2,4771,11,433.72727272727275,male,own,little,moderate,radio/TV,Senior
451,29,2,518,6,86.33333333333333,female,own,little,little,radio/TV,Adult
12,22,2,1567,12,130.58333333333334,female,own,little,moderate,radio/TV,Young
568,41,2,3979,48,82.89583333333333,male,own,little,moderate,radio/TV,Middle
212,50,2,5293,27,196.03703703703704,male,own,little,little,business,Middle
322,34,3,2910,24,121.25,male,free,little,little,car,Adult
650,50,3,7476,48,155.75,male,free,little,little,education,Middle
291,28,3,9398,36,261.05555555555554,male,rent,little,moderate,car,Adult
37,37,2,2100,18,116.66666666666667,male,own,little,rich,radio/TV,Middle
913,28,2,2142,11,194.72727272727272,male,own,rich,little,business,Adult
397,46,2,2348,36,65.22222222222223,male,own,little,little,furniture/equipment,Middle
278,32,2,4611,6,768.5,female,own,little,little,furniture/equipment,Adult
271,37,2,1402,12,116.83333333333333,female,rent,quite rich,little,furniture/equipment,Middle
792,27,2,1221,6,203.5,male,own,little,little,furniture/equipment,Adult
847,28,2,1249,24,52.041666666666664,male,own,little,little,car,Adult
36,31,2,6110,48,127.29166666666667,male,free,little,little,education,Adult
580,30,2,1056,18,58.666666666666664,male,own,little,moderate,car,Adult
5,35,1,9055,36,251.52777777777777,male,free,little,little,education,Adult
165,32,2,2978,6,496.3333333333333,male,own,quite rich,little,furniture/equipment,Adult
836,21,2,886,12,73.83333333333333,female,own,little,little,radio/TV,Young
661,23,2,900,12,75.0,male,own,little,little,car,Young
135,38,2,1240,12,103.33333333333333,female,own,little,little,radio/TV,Middle
494,39,1,2122,12,176.83333333333334,male,rent,little,little,car,Middle
407,27,2,1053,15,70.2,male,own,little,little,radio/TV,Adult
114,35,2,1680,12,140.0,male,own,quite rich,little,radio/TV,Adult
857,28,2,3343,15,222.86666666666667,male,free,little,little,furniture/equipment,Adult
626,41,2,2116,6,352.6666666666667,male,own,little,rich,furniture/equipment,Middle
458,27,2,343,6,57.166666666666664,female,own,little,little,domestic appliances,Adult
242,24,2,4605,48,95.9375,male,free,little,little,car,Young
675,26,3,4530,30,151.0,female,rent,little,little,radio/TV,Adult
813,54,2,3051,48,63.5625,male,own,little,little,domestic appliances,Senior
410,20,2,1967,24,81.95833333333333,female,own,little,moderate,radio/TV,Young
907,27,2,3711,36,103.08333333333333,male,own,little,moderate,education,Adult
35,25,1,4746,45,105.46666666666667,male,own,little,moderate,radio/TV,Young
940,45,3,3527,12,293.9166666666667,male,own,little,little,car,Middle
602,34,1,1837,24,76.54166666666667,female,free,little,moderate,education,Adult
808,55,3,9283,42,221.02380952380952,male,free,little,moderate,car,Senior
881,48,2,9277,24,386.5416666666667,male,free,little,little,car,Middle
144,23,2,2288,21,108.95238095238095,female,own,little,little,furniture/equipment,Young
553,27,2,1995,12,166.25,male,own,moderate,moderate,car,Adult
600,45,2,2329,7,332.7142857142857,female,own,little,moderate,radio/TV,Middle
932,30,2,1224,9,136.0,male,own,little,little,car,Adult
419,33,2,1042,18,57.888888888888886,female,own,little,moderate,car,Adult
487,62,2,3757,24,156.54166666666666,female,free,little,little,car,Senior
196,28,2,1382,6,230.33333333333334,female,own,little,little,radio/TV,Adult
422,47,1,958,12,79.83333333333333,male,own,little,moderate,car,Middle
951,24,2,2145,36,59.583333333333336,male,own,little,little,business,Young
493,38,2,368,6,61.333333333333336,male,own,little,moderate,radio/TV,Middle
388,27,2,2326,15,155.06666666666666,male,own,quite rich,moderate,business,Adult
987,64,2,1409,13,108.38461538461539,female,own,moderate,little,radio/TV,Senior
331,30,2,1864,18,103.55555555555556,female,own,moderate,little,education,Adult
497,40,2,1585,24,66.04166666666667,male,own,little,little,furniture/equipment,Middle
370,36,2,3079,36,85.52777777777777,male,own,little,little,car,Middle
870,40,2,7678,36,213.27777777777777,female,own,quite rich,little,furniture/equipment,Middle
392,39,3,3249,36,90.25,male,free,little,little,car,Middle
206,43,2,1935,12,161.25,male,own,little,little,furniture/equipment,Middle
967,54,3,3568,15,237.86666666666667,female,rent,little,little,radio/TV,Senior
701,46,2,6331,48,131.89583333333334,male,free,little,little,car,Middle
952,28,2,4113,24,171.375,female,rent,quite rich,moderate,car,Adult
767,31,2,2901,10,290.1,female,rent,little,little,car,Adult
670,27,1,4139,24,172.45833333333334,male,own,moderate,little,business,Adult
26,39,1,426,6,71.0,male,own,little,little,radio/TV,Middle
436,23,1,660,6,110.0,male,rent,quite rich,little,repairs,Young
457,35,2,3386,12,282.1666666666667,male,free,little,little,car,Adult
517,23,2,7127,36,197.97222222222223,female,rent,little,little,furniture/equipment,Young
195,34,3,1501,9,166.77777777777777,female,own,little,moderate,education,Adult
719,31,2,6148,20,307.4,male,own,moderate,moderate,car,Adult
464,34,2,1950,18,108.33333333333333,male,own,little,little,business,Adult
241,51,2,1595,6,265.8333333333333,male,own,little,little,radio/TV,Senior
158,38,2,3512,24,146.33333333333334,male,own,moderate,moderate,car,Middle
957,37,1,1154,9,128.22222222222223,male,own,little,moderate,radio/TV,Middle
446,34,2,1842,36,51.166666666666664,female,own,little,little,car,Adult
609,45,2,1300,15,86.66666666666667,male,free,little,little,car,Middle
108,30,2,7721,24,321.7083333333333,female,own,little,little,furniture/equipment,Adult
9,28,3,5234,30,174.46666666666667,male,own,little,moderate,car,Adult
962,29,2,3556,15,237.06666666666666,male,own,little,little,car,Adult
625,35,2,1979,15,131.93333333333334,male,own,little,little,radio/TV,Adult
768,28,2,3617,12,301.4166666666667,male,rent,little,moderate,furniture/equipment,Adult
720,34,3,1337,9,148.55555555555554,male,own,little,rich,radio/TV,Adult
525,30,2,7966,26,306.38461538461536,male,own,little,moderate,car,Adult
673,24,2,2080,6,346.6666666666667,male,own,quite rich,little,car,Young
679,26,2,1453,18,80.72222222222223,female,own,little,little,radio/TV,Adult
189,33,2,3244,18,180.22222222222223,female,own,little,moderate,furniture/equipment,Adult
152,24,2,5848,36,162.44444444444446,male,own,little,rich,radio/TV,Young
590,58,1,385,12,32.083333333333336,female,own,little,little,radio/TV,Senior
601,30,2,918,9,102.0,female,own,little,moderate,furniture/equipment,Adult
132,27,1,2708,15,180.53333333333333,male,own,little,little,furniture/equipment,Adult
529,41,1,662,6,110.33333333333333,male,own,little,little,car,Middle
566,36,2,1372,12,114.33333333333333,male,own,little,little,car,Middle
888,34,3,6614,36,183.72222222222223,male,own,little,little,car,Adult
789,27,2,5998,40,149.95,male,own,little,little,education,Adult
730,33,2,6403,24,266.7916666666667,male,own,little,moderate,radio/TV,Adult
19,31,2,3430,24,142.91666666666666,male,own,quite rich,little,radio/TV,Adult
712,46,3,2476,21,117.9047619047619,male,own,little,little,car,Middle
693,44,1,4716,6,786.0,male,own,little,little,car,Middle
365,36,2,1542,12,128.5,male,own,little,little,business,Middle
716,40,2,3077,30,102.56666666666666,male,own,little,little,radio/TV,Middle
586,36,2,2799,9,311.0,male,rent,little,little,car,Middle
341,26,1,3599,21,171.38095238095238,female,rent,little,little,furniture/equipment,Adult
630,28,2,3660,24,152.5,female,own,little,little,radio/TV,Adult
16,53,2,2424,24,101.0,male,own,little,little,radio/TV,Senior
14,28,2,1403,15,93.53333333333333,female,rent,little,little,car,Adult
615,48,3,12204,48,254.25,male,own,little,moderate,business,Middle
815,54,2,7432,36,206.44444444444446,female,rent,little,moderate,car,Senior
558,27,2,3552,24,148.0,male,own,little,little,furniture/equipment,Adult
177,52,2,338,6,56.333333333333336,male,own,quite rich,little,radio/TV,Senior
243,27,2,1185,12,98.75,female,own,little,little,business,Adult
976,64,2,753,6,125.5,female,own,little,moderate,radio/TV,Senior
68,37,2,1819,36,50.52777777777778,male,free,little,little,education,Middle
315,31,2,2746,36,76.27777777777777,male,own,little,little,furniture/equipment,Adult
434,25,2,2136,9,237.33333333333334,male,own,little,little,furniture/equipment,Young
469,35,1,4679,24,194.95833333333334,male,own,little,little,car,Adult
82,24,1,1568,18,87.11111111111111,female,rent,moderate,little,business,Young
753,25,2,5771,30,192.36666666666667,female,own,little,little,radio/TV,Young
225,27,2,2613,36,72.58333333333333,male,own,little,little,repairs,Adult
991,34,1,1569,15,104.6,male,own,moderate,little,radio/TV,Adult
409,28,2,939,12,78.25,male,own,quite rich,rich,car,Adult
279,29,3,1901,24,79.20833333333333,male,rent,moderate,little,radio/TV,Adult
929,43,1,1344,12,112.0,male,own,little,little,car,Middle
645,27,2,7980,36,221.66666666666666,male,rent,little,little,business,Adult
275,32,2,2697,9,299.6666666666667,male,own,little,little,radio/TV,Adult
450,30,3,11054,36,307.05555555555554,male,own,little,little,car,Adult
484,44,2,1163,12,96.91666666666667,male,own,quite rich,little,car,Middle
869,24,2,652,12,54.333333333333336,female,rent,little,little,furniture/equipment,Young
316,38,1,708,12,59.0,male,own,little,little,furniture/equipment,Middle
80,44,2,5943,24,247.625,female,own,little,little,radio/TV,Middle
539,45,1,3049,18,169.38888888888889,female,own,little,rich,furniture/equipment,Middle
249,22,2,433,18,24.055555555555557,female,rent,little,little,radio/TV,Young
660,23,2,1297,12,108.08333333333333,male,rent,little,rich,radio/TV,Young
252,24,2,2150,30,71.66666666666667,female,own,little,moderate,car,Young
34,33,3,1474,12,122.83333333333333,female,own,little,rich,furniture/equipment,Adult
290,26,2,1076,12,89.66666666666667,male,own,little,little,business,Adult
183,50,2,3777,24,157.375,male,own,rich,little,furniture/equipment,Middle
515,37,2,609,6,101.5,female,own,little,little,car,Middle
88,30,3,2249,18,124.94444444444444,male,own,moderate,little,car,Adult
863,32,1,4526,27,167.62962962962962,male,own,rich,little,furniture/equipment,Adult
403,27,1,802,14,57.285714285714285,male,own,little,little,car,Adult
143,22,2,2462,18,136.77777777777777,male,own,little,little,furniture/equipment,Young
248,26,2,1925,24,80.20833333333333,male,own,little,rich,furniture/equipment,Adult
905,20,3,1107,12,92.25,male,rent,little,little,radio/TV,Young
839,46,2,2611,24,108.79166666666667,male,own,little,little,radio/TV,Middle
575,24,2,2788,15,185.86666666666667,female,own,little,little,furniture/equipment,Young
32,30,2,5866,18,325.8888888888889,male,own,moderate,moderate,car,Adult
71,46,1,730,7,104.28571428571429,male,rent,little,little,radio/TV,Middle
861,28,2,2169,18,120.5,male,own,little,little,business,Adult
708,25,2,1206,9,134.0,female,own,little,moderate,radio/TV,Young
222,30,2,707,12,58.916666666666664,male,own,little,little,radio/TV,Adult
798,54,2,717,24,29.875,male,own,little,little,car,Senior
93,20,2,3617,24,150.70833333333334,male,rent,little,rich,furniture/equipment,Young
49,28,2,2073,12,172.75,female,own,moderate,little,radio/TV,Adult
90,56,2,618,12,51.5,male,own,little,little,radio/TV,Senior
690,25,2,975,15,65.0,male,own,little,little,furniture/equipment,Young
995,31,1,1736,12,144.66666666666666,female,own,little,little,furniture/equipment,Adult
922,22,2,1366,9,151.77777777777777,female,rent,little,little,radio/TV,Young
892,38,1,2171,12,180.91666666666666,male,own,little,little,car,Middle
266,36,2,6304,36,175.11111111111111,male,own,little,little,business,Middle
176,42,2,2577,12,214.75,male,own,little,little,furniture/equipment,Middle
577,33,2,1927,24,80.29166666666667,female,own,little,little,education,Adult
912,25,2,2991,30,99.7,female,own,little,moderate,radio/TV,Young
886,34,2,2825,24,117.70833333333333,male,own,little,moderate,business,Adult
499,28,2,1323,6,220.5,male,own,moderate,rich,car,Adult
326,49,2,5801,12,483.4166666666667,male,rent,little,little,furniture/equipment,Middle
786,40,2,2675,22,121.5909090909091,male,own,quite rich,little,radio/TV,Middle
285,35,1,10722,47,228.12765957446808,female,own,little,little,car,Adult
86,27,2,1295,18,71.94444444444444,female,own,little,moderate,furniture/equipment,Adult
781,60,2,1940,24,80.83333333333333,male,own,rich,little,car,Senior
644,32,3,1880,18,104.44444444444444,male,own,little,little,radio/TV,Adult
73,41,1,5954,42,141.76190476190476,female,own,little,moderate,business,Middle
884,43,2,4057,24,169.04166666666666,male,own,little,moderate,furniture/equipment,Middle
925,46,2,697,12,58.083333333333336,male,own,little,little,car,Middle
530,32,2,2273,36,63.138888888888886,male,own,little,moderate,education,Adult
319,27,1,3643,15,242.86666666666667,female,own,little,little,furniture/equipment,Adult
421,30,2,2028,12,169.0,male,own,little,moderate,car,Adult
468,26,2,2764,33,83.75757575757575,female,own,little,little,business,Adult
311,25,2,5511,24,229.625,male,own,moderate,little,furniture/equipment,Young
174,26,2,3414,21,162.57142857142858,male,own,little,little,education,Adult
27,42,2,409,12,34.083333333333336,female,rent,rich,rich,radio/TV,Middle
496,29,3,9034,36,250.94444444444446,male,rent,moderate,moderate,furniture/equipment,Adult
420,20,2,3186,15,212.4,female,rent,rich,little,car,Young
988,29,3,6579,24,274.125,male,free,little,little,car,Adult
710,32,3,629,18,34.94444444444444,male,own,quite rich,little,radio/TV,Adult
286,26,2,4788,48,99.75,male,own,little,little,car,Adult
411,35,3,7253,33,219.78787878787878,male,own,little,little,car,Adult
394,31,3,2406,9,267.3333333333333,male,own,little,little,furniture/equipment,Adult
67,22,2,1007,12,83.91666666666667,male,own,rich,moderate,car,Young
830,44,2,2375,24,98.95833333333333,male,own,quite rich,little,business,Middle
707,25,2,2969,12,247.41666666666666,female,rent,little,moderate,furniture/equipment,Young
479,44,2,1478,15,98.53333333333333,male,own,little,little,furniture/equipment,Middle
790,39,2,1188,21,56.57142857142857,female,own,little,moderate,business,Middle
733,28,2,2603,24,108.45833333333333,female,rent,rich,little,car,Adult
518,43,2,1203,6,200.5,male,own,moderate,little,car,Middle
303,49,2,1038,10,103.8,male,own,little,little,car,Middle
569,31,2,6758,48,140.79166666666666,female,own,little,little,radio/TV,Adult
214,51,2,3342,36,92.83333333333333,male,own,little,little,radio/TV,Senior
66,29,2,2171,12,180.91666666666666,female,own,little,little,radio/TV,Adult
984,30,1,2028,24,84.5,male,own,little,little,furniture/equipment,Adult
704,32,2,2528,27,93.62962962962963,female,own,little,moderate,business,Adult
120,25,2,1835,21,87.38095238095238,female,own,little,little,radio/TV,Young
170,33,2,950,15,63.333333333333336,male,rent,little,little,car,Adult
3,45,2,7882,42,187.66666666666666,male,free,little,little,furniture/equipment,Middle
232,35,2,2141,12,178.41666666666666,male,own,moderate,little,radio/TV,Adult
255,27,1,7418,60,123.63333333333334,male,own,little,moderate,radio/TV,Adult
121,41,3,3868,24,161.16666666666666,female,rent,little,little,car,Middle
381,38,3,12976,18,720.8888888888889,female,free,little,moderate,car,Middle
408,26,3,3235,24,134.79166666666666,male,own,quite rich,little,radio/TV,Adult
374,60,3,14782,60,246.36666666666667,female,free,moderate,moderate,vacation/others,Senior
511,32,3,4686,36,130.16666666666666,male,free,little,little,car,Adult
889,40,2,7824,28,279.42857142857144,male,rent,little,little,car,Middle
352,38,3,3229,18,179.38888888888889,male,own,little,little,car,Middle
476,24,2,2569,39,65.87179487179488,male,own,quite rich,little,car,Young
557,29,2,5003,21,238.23809523809524,female,own,little,little,car,Adult
502,49,2,1126,9,125.11111111111111,male,own,moderate,rich,radio/TV,Middle
368,42,2,3446,36,95.72222222222223,male,own,little,little,furniture/equipment,Middle
54,57,2,2225,36,61.80555555555556,male,free,little,moderate,car,Senior
745,28,1,1797,13,138.23076923076923,male,own,little,little,business,Adult
147,51,2,682,12,56.833333333333336,female,own,moderate,little,car,Senior
531,28,2,2631,15,175.4,female,rent,moderate,moderate,car,Adult
697,38,0,926,12,77.16666666666667,female,own,little,little,car,Middle
200,52,2,936,9,104.0,male,own,quite rich,little,education,Senior
538,42,3,7763,48,161.72916666666666,male,free,little,little,car,Middle
175,53,3,7485,30,249.5,female,own,little,little,car,Senior
540,23,2,1534,12,127.83333333333333,male,rent,little,moderate,radio/TV,Young
927,39,2,10297,48,214.52083333333334,male,free,little,little,car,Middle
780,25,2,4933,39,126.48717948717949,male,own,little,moderate,radio/TV,Young
69,25,2,2394,36,66.5,female,own,little,little,radio/TV,Young
550,23,2,996,12,83.0,female,own,little,little,repairs,Young
899,42,2,4153,18,230.72222222222223,male,own,little,little,furniture/equipment,Middle
955,57,3,1231,24,51.291666666666664,female,rent,rich,little,radio/TV,Senior
377,36,2,846,7,120.85714285714286,male,free,little,little,radio/TV,Middle
643,33,2,1851,24,77.125,male,own,little,little,radio/TV,Adult
155,20,2,1282,12,106.83333333333333,female,rent,little,little,furniture/equipment,Young
387,40,3,7374,18,409.6666666666667,male,own,little,moderate,furniture/equipment,Middle
154,36,3,6967,24,290.2916666666667,male,rent,moderate,moderate,business,Middle
895,31,3,8947,36,248.52777777777777,male,own,little,little,car,Adult
843,50,2,1559,24,64.95833333333333,male,own,little,little,business,Middle
111,23,2,392,15,26.133333333333333,female,rent,little,rich,education,Young
797,22,1,1258,12,104.83333333333333,female,rent,little,little,furniture/equipment,Young
667,27,2,3609,48,75.1875,female,own,little,little,business,Adult
556,28,2,2278,18,126.55555555555556,female,own,moderate,moderate,car,Adult
238,35,2,1291,12,107.58333333333333,female,own,little,little,radio/TV,Adult
732,44,1,760,8,95.0,female,own,little,moderate,radio/TV,Middle
131,29,2,6887,36,191.30555555555554,male,own,little,little,education,Adult
816,62,2,1338,6,223.0,male,own,quite rich,little,domestic appliances,Senior
184,36,2,884,18,49.111111111111114,male,own,little,moderate,car,Middle
325,39,1,3398,8,424.75,male,own,little,little,car,Middle
342,25,2,3213,18,178.5,male,rent,quite rich,moderate,radio/TV,Young
270,32,2,2662,18,147.88888888888889,male,own,little,little,car,Adult
564,37,3,4712,24,196.33333333333334,male,own,little,moderate,business,Middle
498,32,1,1301,18,72.27777777777777,male,own,little,moderate,radio/TV,Adult
617,37,2,3676,6,612.6666666666666,male,rent,little,little,car,Middle
879,36,2,6742,30,224.73333333333332,male,own,little,little,radio/TV,Middle
593,20,1,2718,24,113.25,female,rent,little,moderate,car,Young
637,21,2,15653,60,260.8833333333333,male,own,little,little,radio/TV,Young
963,35,2,2397,24,99.875,male,own,quite rich,little,radio/TV,Adult
172,34,3,2064,24,86.0,female,own,little,moderate,furniture/equipment,Adult
398,46,2,1223,12,101.91666666666667,male,rent,little,moderate,car,Middle
726,47,1,1316,15,87.73333333333333,male,own,quite rich,little,radio/TV,Middle
914,31,2,3161,24,131.70833333333334,male,rent,little,little,business,Adult
923,30,2,2002,12,166.83333333333334,male,rent,little,moderate,car,Adult
414,35,2,1381,24,57.541666666666664,female,own,little,little,car,Adult
140,27,0,709,6,118.16666666666667,male,own,rich,rich,car,Adult
882,36,2,2181,30,72.7,male,own,little,moderate,car,Middle
371,33,2,6070,18,337.22222222222223,male,own,little,little,radio/TV,Adult
561,24,1,1546,24,64.41666666666667,male,rent,little,little,radio/TV,Young
483,30,2,960,15,64.0,female,own,rich,little,furniture/equipment,Adult
666,34,2,3496,30,116.53333333333333,male,own,rich,moderate,furniture/equipment,Adult
123,63,2,781,10,78.1,male,free,little,rich,car,Senior
943,42,1,1455,4,363.75,male,own,little,little,car,Middle
584,52,3,2133,12,177.75,female,free,little,little,car,Senior
44,58,1,6143,48,127.97916666666667,female,free,little,little,car,Senior
103,35,2,1919,9,213.22222222222223,male,rent,little,moderate,furniture/equipment,Adult
163,70,3,7308,10,730.8,male,free,little,moderate,car,Senior
910,34,2,4454,36,123.72222222222223,female,own,little,little,radio/TV,Adult
7,35,3,6948,36,193.0,male,rent,little,moderate,car,Adult
104,26,2,2445,12,203.75,male,rent,little,little,car,Adult
771,25,3,8065,36,224.02777777777777,female,own,little,little,education,Young
